Model,Imbalance Strategy,Accuracy,Precision,Recall (Sensitivity),Specificity,F1-Score,Balanced Accuracy,MCC,ROC-AUC,PR-AUC,Brier Score,TN,FP,FN,TP
Logistic Regression,class_weight='balanced',0.7455968688845401,0.1379310344827586,0.8,0.742798353909465,0.2352941176470588,0.7713991769547326,0.2597180402116852,0.8436008230452675,0.2682639299319136,0.1676128341549174,722,250,10,40
Random Forest,class_weight='balanced',0.9158512720156556,0.2096774193548387,0.26,0.9495884773662552,0.2321428571428571,0.6047942386831275,0.1893887056527975,0.8169547325102879,0.1887741784000002,0.0662699804626878,923,49,37,13
KNN,SMOTE within training folds,0.7729941291585127,0.1043478260869565,0.48,0.7880658436213992,0.1714285714285714,0.6340329218106996,0.1384627989716137,0.7451234567901234,0.1007673941797883,0.1592347121913688,766,206,26,24
XGBoost,training-derived scale_pos_weight only,0.776908023483366,0.1576923076923077,0.82,0.7746913580246914,0.2645161290322581,0.7973456790123457,0.2945408951811767,0.8458024691358024,0.2724388183891796,0.1342455297708511,753,219,9,41
