Model,Imbalance Strategy,Threshold,Accuracy,Precision,Recall (Sensitivity),Specificity,F1-Score,Balanced Accuracy,MCC,ROC-AUC,PR-AUC,Brier Score,TN,FP,FN,TP
XGBoost,training-derived scale_pos_weight only,0.2,0.5919765166340509,0.09312638580931264,0.84,0.5792181069958847,0.16766467065868262,0.7096090534979423,0.18211756801160664,0.8458024691358024,0.27243881838917966,0.13424552977085114,563,409,8,42
XGBoost,training-derived scale_pos_weight only,0.3,0.6457925636007827,0.10406091370558376,0.82,0.6368312757201646,0.18468468468468469,0.7284156378600823,0.20246316930869576,0.8458024691358024,0.27243881838917966,0.13424552977085114,619,353,9,41
XGBoost,training-derived scale_pos_weight only,0.4,0.7103718199608611,0.125,0.82,0.7047325102880658,0.21693121693121692,0.7623662551440329,0.24245963648421825,0.8458024691358024,0.27243881838917966,0.13424552977085114,685,287,9,41
XGBoost,training-derived scale_pos_weight only,0.5,0.776908023483366,0.1576923076923077,0.82,0.7746913580246914,0.2645161290322581,0.7973456790123457,0.29454089518117677,0.8458024691358024,0.27243881838917966,0.13424552977085114,753,219,9,41
XGBoost,training-derived scale_pos_weight only,0.6,0.8444227005870841,0.18857142857142858,0.66,0.8539094650205762,0.29333333333333333,0.7569547325102881,0.294268666742437,0.8458024691358024,0.27243881838917966,0.13424552977085114,830,142,17,33
XGBoost,training-derived scale_pos_weight only,0.7,0.9001956947162426,0.25,0.52,0.9197530864197531,0.33766233766233766,0.7198765432098766,0.3137538189219089,0.8458024691358024,0.27243881838917966,0.13424552977085114,894,78,24,26
XGBoost,training-derived scale_pos_weight only,0.8,0.9275929549902152,0.25,0.24,0.9629629629629629,0.24489795918367346,0.6014814814814815,0.20693541952277933,0.8458024691358024,0.27243881838917966,0.13424552977085114,936,36,38,12
