Strategy,ROC-AUC Mean,ROC-AUC SD,PR-AUC Mean,PR-AUC SD,Recall Mean,Recall SD,Precision Mean,Precision SD,F1-Score Mean,F1-Score SD,Balanced Accuracy Mean,Balanced Accuracy SD
SMOTE only,0.8129120258779642,0.02007126168788998,0.15806453171246954,0.031750241387779744,0.36692307692307696,0.08805718623336359,0.17004252807737513,0.030980770456598385,0.23204293458572683,0.04595806854981205,0.6379478462897487,0.04308439854384862
Class weighting only,0.8458617844093423,0.010944968614966279,0.22055984626411657,0.05603657558308778,0.7791025641025641,0.031073548517806818,0.1531930773648424,0.007898489176756165,0.255978935729331,0.01189180206187334,0.7792403835655763,0.01600464262657387
SMOTE + class weighting (10),0.8035941394231884,0.016667186848507324,0.1496366325699883,0.025762938784301883,0.8647435897435898,0.05427560733525494,0.10832238781553186,0.004130120618679424,0.1924985636171065,0.0075662522202402755,0.7503218234902038,0.02416023387223322
